tag,term,definition
430000008,EcdsaSecp256k1VerificationKey2019,https://w3id.org/security#EcdsaSecp256k1VerificationKey2019
430000009,Ed25519Signature2018,https://w3id.org/security#Ed25519Signature2018
430000010,Ed25519VerificationKey2018,https://w3id.org/security#Ed25519VerificationKey2018
430000011,RsaVerificationKey2018,https://w3id.org/security#RsaVerificationKey2018
430000012,SchnorrSecp256k1VerificationKey2019,https://w3id.org/security#SchnorrSecp256k1VerificationKey2019
430000013,ServiceEndpointProxyService,https://w3id.org/did#ServiceEndpointProxyService
430000014,assertionMethod,https://w3id.org/security#assertionMethod
430000015,authentication,https://w3id.org/security#authenticationMethod
430000016,capabilityDelegation,https://w3id.org/security#capabilityDelegationMethod
430000017,capabilityInvocation,https://w3id.org/security#capabilityInvocationMethod
430000018,controller,https://w3id.org/security#controller
430000019,created,http://purl.org/dc/terms/created
430000020,keyAgreement,https://w3id.org/security#keyAgreementMethod
430000021,proof,https://w3id.org/security#proof
430000022,publicKey,https://w3id.org/security#publicKey
430000023,publicKeyBase58,https://w3id.org/security#publicKeyBase58
430000024,publicKeyPem,https://w3id.org/security#publicKeyPem
430000025,publicKeyJwk,https://w3id.org/security#publicKeyJwk
430000026,service,https://w3id.org/did#service
430000027,serviceEndpoint,https://w3id.org/did#serviceEndpoint
430000028,updated,http://purl.org/dc/terms/modified
430000029,verificationMethod,https://w3id.org/security#verificationMethod
